task,modulus,input_dim,optimizer,seed,final_acc,time_to_80,difficulty
add,97,1,belopt,42,98.2,12.1,1.0
add,97,1,adam,42,96.5,15.3,1.0
add,97,1,sgd,42,94.8,19.2,1.0
add,97,1,rmsprop,42,95.9,16.1,1.0
add,97,8,belopt,42,96.8,16.2,0.95
add,97,8,adam,42,95.1,19.8,0.95
add,97,8,sgd,42,92.8,24.5,0.95
add,97,8,rmsprop,42,94.3,20.9,0.95
add,97,64,belopt,42,93.5,22.5,0.88
add,97,64,adam,42,90.8,27.8,0.88
add,97,64,sgd,42,87.2,35.1,0.88
add,97,64,rmsprop,42,89.5,29.2,0.88
add,1009,1,belopt,42,96.8,14.2,0.92
add,1009,1,adam,42,94.2,18.5,0.92
add,1009,1,sgd,42,91.5,24.3,0.92
add,1009,1,rmsprop,42,93.1,19.8,0.92
add,1009,8,belopt,42,94.2,19.8,0.86
add,1009,8,adam,42,91.1,25.2,0.86
add,1009,8,sgd,42,87.3,32.8,0.86
add,1009,8,rmsprop,42,89.8,27.1,0.86
add,1009,64,belopt,42,89.5,28.5,0.78
add,1009,64,adam,42,85.2,36.8,0.78
add,1009,64,sgd,42,79.8,48.2,0.78
add,1009,64,rmsprop,42,83.1,39.5,0.78
add,10007,1,belopt,42,94.1,16.8,0.85
add,10007,1,adam,42,90.8,22.1,0.85
add,10007,1,sgd,42,86.9,29.8,0.85
add,10007,1,rmsprop,42,89.2,24.2,0.85
add,10007,8,belopt,42,90.8,24.2,0.78
add,10007,8,adam,42,86.5,32.5,0.78
add,10007,8,sgd,42,81.2,43.8,0.78
add,10007,8,rmsprop,42,84.3,35.2,0.78
add,10007,64,belopt,42,84.2,35.8,0.68
add,10007,64,adam,42,78.5,47.2,0.68
add,10007,64,sgd,42,71.3,62.5,0.68
add,10007,64,rmsprop,42,76.1,50.8,0.68
add,100003,1,belopt,42,90.5,20.5,0.78
add,100003,1,adam,42,85.8,28.2,0.78
add,100003,1,sgd,42,80.1,38.5,0.78
add,100003,1,rmsprop,42,83.5,31.8,0.78
add,100003,8,belopt,42,85.2,30.2,0.70
add,100003,8,adam,42,79.3,41.5,0.70
add,100003,8,sgd,42,72.5,56.8,0.70
add,100003,8,rmsprop,42,77.1,45.2,0.70
add,100003,32,belopt,42,78.5,42.8,0.60
add,100003,32,adam,42,71.2,59.2,0.60
add,100003,32,sgd,42,63.1,78.5,0.60
add,100003,32,rmsprop,42,68.5,64.8,0.60
add,1000003,1,belopt,42,86.2,25.8,0.70
add,1000003,1,adam,42,79.8,36.5,0.70
add,1000003,1,sgd,42,72.5,50.2,0.70
add,1000003,1,rmsprop,42,77.1,41.8,0.70
add,1000003,8,belopt,42,79.8,38.5,0.60
add,1000003,8,adam,42,72.1,54.8,0.60
add,1000003,8,sgd,42,63.8,74.2,0.60
add,1000003,8,rmsprop,42,69.5,60.5,0.60
add,1000003,16,belopt,42,72.5,52.8,0.50
add,1000003,16,adam,42,64.2,75.5,0.50
add,1000003,16,sgd,42,55.1,98.2,0.50
add,1000003,16,rmsprop,42,61.8,82.8,0.50
mul,97,1,belopt,42,97.8,13.5,1.0
mul,97,1,adam,42,95.9,16.8,1.0
mul,97,1,sgd,42,93.5,21.2,1.0
mul,97,8,belopt,42,95.5,18.2,0.95
mul,97,8,adam,42,93.2,22.5,0.95
mul,97,8,sgd,42,89.8,28.1,0.95
mul,1009,1,belopt,42,95.2,15.8,0.92
mul,1009,1,adam,42,92.5,20.5,0.92
mul,1009,1,sgd,42,88.9,26.8,0.92
mul,1009,8,belopt,42,92.1,22.1,0.86
mul,1009,8,adam,42,88.5,28.5,0.86
mul,1009,8,sgd,42,83.8,37.2,0.86
mul,10007,1,belopt,42,91.8,18.5,0.85
mul,10007,1,adam,42,88.2,24.8,0.85
mul,10007,1,sgd,42,83.5,33.2,0.85
mul,10007,8,belopt,42,87.5,27.2,0.78
mul,10007,8,adam,42,82.8,36.8,0.78
mul,10007,8,sgd,42,76.5,49.2,0.78
mul,100003,1,belopt,42,87.2,23.5,0.78
mul,100003,1,adam,42,81.5,32.8,0.78
mul,100003,1,sgd,42,74.8,44.5,0.78
mul,100003,8,belopt,42,81.8,34.2,0.70
mul,100003,8,adam,42,74.5,48.5,0.70
mul,100003,8,sgd,42,66.8,65.2,0.70
mul,1000003,1,belopt,42,82.5,29.8,0.70
mul,1000003,1,adam,42,75.2,42.5,0.70
mul,1000003,1,sgd,42,67.1,58.5,0.70
mul,1000003,8,belopt,42,75.8,44.2,0.60
mul,1000003,8,adam,42,67.5,63.2,0.60
mul,1000003,8,sgd,42,58.9,85.8,0.60
