seed,epoch,avg_loss,accuracy,time_elapsed,optimizer,task
0,1,6.235310032963753,0.014,0.135816,BelOpt,modular_addition
0,2,5.817425116896629,0.013,0.257074,BelOpt,modular_addition
0,3,5.55293644964695,0.013,0.373431,BelOpt,modular_addition
0,4,5.357714116573334,0.013,0.49491,BelOpt,modular_addition
0,5,5.183308944106102,0.0135,0.614955,BelOpt,modular_addition
0,6,5.06245844066143,0.0155,0.734713,BelOpt,modular_addition
0,7,4.9784363359212875,0.015,0.854287,BelOpt,modular_addition
0,8,4.901367112994194,0.0145,0.975388,BelOpt,modular_addition
0,9,4.8617361932992935,0.013,1.096865,BelOpt,modular_addition
0,10,4.8106071054935455,0.014,1.214763,BelOpt,modular_addition
0,11,4.776064559817314,0.013,1.332006,BelOpt,modular_addition
0,12,4.745039626955986,0.012,1.448752,BelOpt,modular_addition
0,13,4.714943513274193,0.01,1.59384,BelOpt,modular_addition
0,14,4.704773366451263,0.0115,1.710376,BelOpt,modular_addition
0,15,4.68880295753479,0.013,1.824441,BelOpt,modular_addition
0,16,4.670374259352684,0.011,1.938541,BelOpt,modular_addition
0,17,4.665394112467766,0.0105,2.052746,BelOpt,modular_addition
0,18,4.65066896378994,0.009,2.167149,BelOpt,modular_addition
0,19,4.644232511520386,0.0105,2.282602,BelOpt,modular_addition
0,20,4.633829593658447,0.01,2.400179,BelOpt,modular_addition
0,21,4.631383493542671,0.011,2.515703,BelOpt,modular_addition
0,22,4.618898332118988,0.0105,2.631116,BelOpt,modular_addition
0,23,4.62155619263649,0.011,2.745893,BelOpt,modular_addition
0,24,4.612019211053848,0.0125,2.860954,BelOpt,modular_addition
0,25,4.605130642652512,0.013,2.976067,BelOpt,modular_addition
0,26,4.601947247982025,0.0125,3.091956,BelOpt,modular_addition
0,27,4.596353083848953,0.0125,3.213895,BelOpt,modular_addition
0,28,4.593063205480576,0.0125,3.341873,BelOpt,modular_addition
0,29,4.590012103319168,0.011,3.467952,BelOpt,modular_addition
0,30,4.588464260101318,0.0115,3.592489,BelOpt,modular_addition
0,31,4.584939807653427,0.0115,3.709402,BelOpt,modular_addition
0,32,4.580914378166199,0.0095,3.825128,BelOpt,modular_addition
0,33,4.5823784321546555,0.0105,3.940983,BelOpt,modular_addition
0,34,4.573738396167755,0.011,4.057966,BelOpt,modular_addition
0,35,4.578636571764946,0.0115,4.174524,BelOpt,modular_addition
0,36,4.5772023648023605,0.011,4.291596,BelOpt,modular_addition
0,37,4.574071109294891,0.011,4.409286,BelOpt,modular_addition
0,38,4.569878965616226,0.0105,4.527247,BelOpt,modular_addition
0,39,4.56945826113224,0.0135,4.644783,BelOpt,modular_addition
0,40,4.566397324204445,0.0125,4.760352,BelOpt,modular_addition
0,41,4.5610672533512115,0.0125,4.876167,BelOpt,modular_addition
0,42,4.562863662838936,0.0135,4.991781,BelOpt,modular_addition
0,43,4.560037925839424,0.0125,5.107032,BelOpt,modular_addition
0,44,4.561818212270737,0.013,5.222313,BelOpt,modular_addition
0,45,4.56081035733223,0.014,5.340097,BelOpt,modular_addition
0,46,4.558809518814087,0.0135,5.457928,BelOpt,modular_addition
0,47,4.55621699988842,0.014,5.573316,BelOpt,modular_addition
0,48,4.55564472079277,0.014,5.688574,BelOpt,modular_addition
0,49,4.5601155161857605,0.0145,5.80379,BelOpt,modular_addition
0,50,4.556901231408119,0.0145,5.918895,BelOpt,modular_addition
1,1,6.307058781385422,0.009,0.115753,BelOpt,modular_addition
1,2,5.814148500561714,0.01,0.231193,BelOpt,modular_addition
1,3,5.503472626209259,0.0095,0.347181,BelOpt,modular_addition
1,4,5.274855688214302,0.011,0.465597,BelOpt,modular_addition
1,5,5.115501403808594,0.011,0.583172,BelOpt,modular_addition
1,6,5.009665235877037,0.009,0.699739,BelOpt,modular_addition
1,7,4.9183163940906525,0.0095,0.815854,BelOpt,modular_addition
1,8,4.856082379817963,0.0105,0.932213,BelOpt,modular_addition
1,9,4.818967774510384,0.0095,1.048602,BelOpt,modular_addition
1,10,4.77126632630825,0.0105,1.164953,BelOpt,modular_addition
1,11,4.742719531059265,0.0105,1.281334,BelOpt,modular_addition
1,12,4.715350493788719,0.0115,1.399741,BelOpt,modular_addition
1,13,4.697470337152481,0.0125,1.519013,BelOpt,modular_addition
1,14,4.684792742133141,0.0135,1.635667,BelOpt,modular_addition
1,15,4.666504457592964,0.012,1.752282,BelOpt,modular_addition
1,16,4.654650911688805,0.016,1.868384,BelOpt,modular_addition
1,17,4.641841724514961,0.015,1.984475,BelOpt,modular_addition
1,18,4.638260155916214,0.0155,2.100661,BelOpt,modular_addition
1,19,4.62359943985939,0.0165,2.217817,BelOpt,modular_addition
1,20,4.620720535516739,0.0165,2.334259,BelOpt,modular_addition
1,21,4.614286810159683,0.0175,2.456065,BelOpt,modular_addition
1,22,4.609416708350182,0.0165,2.582575,BelOpt,modular_addition
1,23,4.603325933218002,0.018,2.701843,BelOpt,modular_addition
1,24,4.597167789936066,0.018,2.820003,BelOpt,modular_addition
1,25,4.597441151738167,0.0185,2.938321,BelOpt,modular_addition
1,26,4.5884455144405365,0.0195,3.056387,BelOpt,modular_addition
